Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Image_web,Narr1_seed,Desc_Next1,Desc_Next2,Desi_Ques,Narr2_seed,Narr3_seed,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,1,S000. Opening Slide for PPS – Sales – Blanket Order Processing,S000. Opening Slide for PPS – Sales – Blanket Order Processing,S000,Opening Slide for PPS – Sales – Blanket Order Processing,../images/BlanketOrder/S000.png,,S001,,../images/BlanketOrder/S000.png,Opening Slide for PPS – Sales – Blanket Order Processing,About Palco Power Systems and Scott Electric and a Welcome to Training,,,Opening Slide for PPS.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.",,,,,,,,,,,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,2,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001,About Palco Power Systems and Scott Electric and a Welcome to Training,../images/BlanketOrder/S001.png,,S002,,../images/BlanketOrder/S001.png,About Palco Power Systems and Scott Electric and a Welcome to Training,Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,,,About Palco Power Systems and Scott Electric and a Welcome to Training.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.",,,,,,,,,,,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,3,S002. Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,S002. Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,S002,Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,../images/BlanketOrder/S002.png,,S003,,../images/BlanketOrder/S002.png,Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,,,This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.",,,,,,,,,,,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,4,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,../images/BlanketOrder/S003.png,,M1,,../images/BlanketOrder/S003.png,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,Blanket Order Creation and Processing SOP - PPS Sales,,,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it ",,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,5,M1. Blanket Order Creation and Processing SOP - PPS Sales,M1. Blanket Order Creation and Processing SOP - PPS Sales,M1,Blanket Order Creation and Processing SOP - PPS Sales,../images/BlanketOrder/M1.png,,S1,,../images/BlanketOrder/M1.png,Blanket Order Creation and Processing SOP - PPS Sales,Contractor places an Order for a Generator- PPS Sales,,,Blanket Order Creation and Processing SOP - PPS Sales,This process is used in both Industrial and Residential sales The process handles both sold from stock generators and Special build generators ,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,6,S1. Contractor places an Order for a Generator- PPS Sales,S1. Contractor places an Order for a Generator- PPS Sales,S1,Contractor places an Order for a Generator- PPS Sales,../images/BlanketOrder/S1.png,,S2,,../images/BlanketOrder/S1.png,Contractor places an Order for a Generator- PPS Sales,Create a Blanket Order using OPM - PPS Sales,,,Contractor places an Order for a Generator- PPS Sales,The contractor places an order for the generator after reviewing our specifications ,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,7,S2. Create a Blanket Order using OPM - PPS Sales,S2. Create a Blanket Order using OPM - PPS Sales,S2,Create a Blanket Order using OPM - PPS Sales,../images/BlanketOrder/S2.png,,D1,,../images/BlanketOrder/S2.png,Create a Blanket Order using OPM - PPS Sales,Decision is the Generator a “Modified Build” ? - PPS Sales,,,Create a Blanket Order using OPM - PPS Sales,"the process starts with the creation of Blanket Order A blanket order (BL) represents a contract to supply a quantity of goods to be shipped on different dates, and possibly to different locations, over a specified period of time. BLs are automatically converted to blanket releases (BR) when it comes time to ship the products. Use these instructions to create a BL.",,,,,,,,,,,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,8,D1. Decision is the Generator a “Modified Build” ? - PPS Sales,D1. Decision is the Generator a “Modified Build” ? - PPS Sales,D1,Decision is the Generator a “Modified Build” ? - PPS Sales,../images/BlanketOrder/D1.png,Decision Is the Generator a “Modified Build” ?,Y1,N1,../images/BlanketOrder/D1.png,Yes Generator a “Modified Build” ? - PPS Sales,Yes the Order is  “Modified Build” Generator - PPS Sales,"No, Generator is not a “Modified Build” ",Decision Is the Generator a “Modified Build” ?,Decision is the Generator a “Modified Build” ? - PPS Sales,"A key decision needs to be taken if the order requires a ""modified Generator Build"" or a standard unit",,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,9,"Y1. Yes, Generator is a “Modified Build” - PPS Sales","Y1. Yes, Generator is a “Modified Build” - PPS Sales",Y1,"Yes, Generator is a “Modified Build” - PPS Sales",../images/BlanketOrder/Y1.png,,S3,,../images/BlanketOrder/Y1.png,"Yes, Generator is a “Modified Build” - PPS Sales",Create an order with a “Order as needed Stock Item” OPM - PPS Sales,,,"Yes, Generator is a “Modified Build” - PPS Sales",In this path it was determined that a modified generator needs to be created ,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,10,S3. Create an order with a “Order as needed Stock Item” OPM - PPS Sales,S3. Create an order with a “Order as needed Stock Item” OPM - PPS Sales,S3,Create an order with a “Order as needed Stock Item” OPM - PPS Sales,../images/BlanketOrder/S3.png,,S4,,../images/BlanketOrder/S3.png,Create an order with a “Order as needed Stock Item” OPM - PPS Sales,Make the OAN item serialized OPM - PPS Sales,,,Create an order with a “Order as needed Stock Item” OPM - PPS Sales,In order to process this order an Item has to be created as with an Order as needed flag set as this is a one of sale,09_Create Order as Needed Non Stock,https://scottelectricusa.uap.infor.com/#/content/bda7b62d-f8c7-4c18-a421-14573b577ab2?contextId=1117d5a4-031c-40fd-bc51-f8d6bb1f1345&bypassGroupFiltering=false,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,
